时间及产品型号,评论内容
2024年10月2日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜很好很酷，还送了一副墨镜夹片超级实用，客服也很耐心，出现了问题一直耐心沟通
2024年10月2日 · 金丝光学眼镜2+【送墨镜夹片】,金丝这款带上最舒适，感觉没有很重， 镜框很精致，做工好， 镜腿虽然粗正面看不明显， 音质真不错，近视的人群可以省下一个蓝牙耳机，非常方便，还不会丢，续航够用， 还有个墨镜夹片，开车时夹上，夹片重量可以忽略
2024年10月30日 · 智能眼镜2【钛空光学镜.】发布会新品！,音质很好，带上也很舒服，好评
2024年10月31日 · 智能眼镜2【钛空光学镜.】发布会新品！,东西比我想象中的还要完美，十分给力，值得入手
2024年10月3日 · 智能眼镜2【方形无框光学镜.】发布会新品！,去华为店试戴了各种镜框，最后还是选择了网上购买无框眼镜（店里没货），无框比较百搭点（我方脸），图二为各款镜框尺寸，图三为后铰链的长短（有说明说可以判断是否需要更换铰链），我近视的，配好再寄过来需要一周所以我让阿絮客服（点赞阿絮）帮我先发眼镜，我测好度数再发镜片给我，这样快一些（其实配好寄过来时间也差不多，眼镜店也要发回厂家才能配镜�要4天） 解放双手，不用额外再戴蓝牙耳机了是我最满意的，音质也很棒，再也不会漏接电话了，怎么没早点知道这么个好东西❤️非常满意
2024年10月5日 · 智能眼镜2【钛空光学镜.】发布会新品！,是正品 科技感十足 科技改变生活 大品牌值得信赖
2024年10月5日 · 飞行员光学眼镜2+【送飞行员墨镜夹片.】,眼镜试了。很好用。音质很不错。值得拥有
2024年10月7日 · 智能眼镜2【方形半框光学镜.】发布会新品！,这也太实用了吧 简直就是摸鱼神器   客服也好有耐心
2024年10月7日 · 智能眼镜2【飞行员光学镜.】发布会新品！,店家服务态度很好，眼镜的功能也是很不错的，可以满足正常佩戴，听歌以及接打电话的需求。
2024年10月7日 · 金丝光学眼镜2+【送墨镜夹片】,有质感的盒子～～超级喜欢～正品更喜欢。送给老爸的生日礼物，刚好生日当天到了，真的很惊喜。品质 物流 服务都OK～爱了爱了
2024年10月7日 · 飞行员光学眼镜2+【送飞行员荧光夜视夹片.】,这个智能眼镜超级方便我工作，佩戴舒适也不累耳朵，外出的话还有蓝光眼镜替换，超级好用，性价比很高，老婆送我的礼物❤❤
2024年10月8日 · 智能眼镜2【钛空光学镜.】发布会新品！,配镜配的很合适，智能眼镜完美替代了蓝牙耳机
2024年10月9日 · 智能眼镜2【方形无框光学镜.】发布会新品！,很惊艳的一副眼镜，华为品牌加持，续航够长，关键是电话听音乐不用戴耳机，非常方便。希望新一代能增加更多功能，一如既往的支持！
2024年11月11日 · 智能眼镜2【方形半框光学镜.】发布会新品！,很满意，商家态度很好，带起还不错
2024年11月13日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框.,东西很好，客服也很耐心很好
2024年11月13日 · 智能眼镜2【金丝光学镜】发布会新品！,音色听着还不错，充电很快，接电话顺畅，通话清晰。女生购买金色边框是不错的选择，值得推荐。
2024年11月13日 · 智能眼镜2【钛空光学镜.】发布会新品！,之前顾虑会不会重，到手用几天感觉没有什么压力感。声音还可以，可以省去带无线耳机的听觉压力一大半。好评华为
2024年11月14日 · 智能眼镜2【方形无框光学镜】发布会新品！,华为正品，双十一价格实惠，还送了个小礼品
2024年11月14日 · 智能眼镜2【方框太阳镜】2024新品发售.,物流快.正品.品质好.非常好用.值得拥有
2024年11月15日 · 【加购送价值269元前框】钛空光学镜+飞行员2灰白渐变前框,这款华为智能眼镜二代，它的颜值很好看，包装很精美，带上去很好看
2024年11月16日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜很好，用起来很方便，体验感很不错，质感到位，客服也非常细心有耐心，有问题一一帮忙解决，推荐购买。
2024年11月18日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼睛非常好用，老公对比了，比上一代轻，而且音质更好。 开会再也不用找耳机和耳朵不舒服了
2024年11月19日 · 智能眼镜2【方形半框光学镜.】发布会新品！,上一代用了两年，这一代比上一代镜腿更细了，续航也更好
2024年11月19日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜款式很好，戴起来重量合适，推荐购买
2024年11月19日 · 智能眼镜2【方形半框光学镜.】发布会新品！,华为产品还是值得信赖的，对于近视的人来说非常的值得入手，可以替代耳机和手表大部分功能。送的近视镜片配的度数挺准的。
2024年11月1日 · 智能眼镜2【钛空光学镜.】发布会新品！,眼镜戴着很舒服，颜值也高，续航音质都很高
2024年11月20日 · 【加购送价值269元前框】钛空光学镜+飞行员2透灰色前框,眼镜收到了。不错，比老款的轻便不少。功能上相对老款进行了优化，使用更便捷了。近视镜片感觉不错，刚刚好。
2024年11月21日 · 智能眼镜2【方形半框光学镜.】发布会新品！,- 精致时尚：镜腿尺寸仅为9.7mm，较上一代大幅缩减，整体造型更精致美观。 - 工艺出色：镜框采用精细工艺，呈现层次感，在光线照耀下呈现金属光泽。 佩戴体验 - 舒适轻盈：虽内置高科技配置，但重量控制得当，且重量平衡佳，长时间佩戴也不会对耳朵和鼻梁造成明显压迫感。 音频功能 - 音质出色：音质表现不俗，低音增强，声音质感很厚重
2024年11月21日 · 金丝光学眼镜2+【送夜间驾驶夹片片】,不错，自己线下换了眼镜片，初戴上有些重，要多戴，喜欢颈椎监测的功能，，，让自己多抬头，不低头，，，，，可以多摸摸鱼了
2024年11月22日 · 【加购送价值269元前框】钛空光学镜+飞行员2透灰色前框,眼镜收到了，很满意等使用了看效果，客服态度也很热情。
2024年11月22日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜刚开始戴着不太习惯，就是腿太粗，耳朵不太习惯。但是接打电话和刷视频非常方便。眼镜片是给配好的，带着这几天没发现眼睛不适的情况。。买完就后悔了，应该直接买钛合金的那款。之前没买是因为去线下试了一下，感觉自己戴上以后一种斯文**的样子���
2024年11月22日 · 金丝光学眼镜2+【送墨镜夹片】,眼镜带着舒服好看，值得推荐！
2024年11月23日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜很好包装也不错，配的度数镜片，安装好发来的，服务也挺好的。
2024年11月23日 · 智能眼镜2【钛空光学镜.】发布会新品！,眼镜收到了  特别惊艳  科技感十足  听小说打电话声音都很清晰  客服特别有耐心  讲解怎么连接手机   华为真牛 会一直支持华为
2024年11月24日 · 智能眼镜2【钛空光学镜.】发布会新品！,眼镜非常满意！绝对好用！非常推荐大家购买！商家服务态度很好！
2024年11月26日 · 【加购送价值269元前框】钛空光学镜+飞行员2透灰色前框,不得不说上班摸鱼的好东西，客服服务态度很好有耐心也负责任，除了配镜有点慢其他没毛病。
2024年11月27日 · 智能眼镜2【方形半框光学镜.】发布会新品！,双十一有活动，正好给老公选了这款作为生日礼物。包装很精致，应该是正品，拆开试了品质很不错，暂时没有发现任何问题，听音乐只要不是非常大声，其他人都听不到，其他的功能慢慢探索吧。客服回复得也很及时耐心，对于问题能够一一解答。
2024年11月30日 · 智能眼镜2【方形半框光学镜.】发布会新品！,好好用，会推荐同事购买的
2024年11月30日 · 智能眼镜2【方形半框光学镜.】发布会新品！,戴起來挺舒服，音質及持航力也不錯，連接手機方便，用了幾天也沒有出毛病�
2024年11月30日 · 智能眼镜2【钛空光学镜.】发布会新品！,非常好用，接电话听歌再也不用戴耳机了
2024年11月30日 · 智能眼镜2【飞行员光学镜.】发布会新品！,试戴了好几天了，蓝牙效果不错，整体会比正常眼睛偏重一点，好看！
2024年11月3日 · 智能眼镜2【方形无框光学镜.】发布会新品！,很好用续航也不错，镜腿稍微有点粗买的无框最轻的
2024年11月4日 · 【加99元送价值269元前框】飞行员光学镜2+飞行员2黑白渐变前框,新眼镜提供便捷的生活体验，音质也不错。对于追求科技与时尚并重的用户来说，华为智能眼镜是一个不错的选择‌。
2024年11月4日 · 智能眼镜2【方形半框光学镜.】发布会新品！,送朋友的生日礼物，上班摸鱼神器，华为质量也有保证，自己用了两个，非常推荐
2024年11月4日 · 智能眼镜2【钛空光学镜.】发布会新品！,非常合适的眼镜，轻巧美观，科技感强
2024年11月6日 · 智能眼镜2【方形半框光学镜.】发布会新品！,眼镜用了一段时间才来评价，很好用，度数很准，反应迅速，耗电量低
2024年11月7日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框.,购买时非常认真的帮我把近视镜片的问题解决了，眼镜收到以后戴着感觉比较舒服，声音也可以非常满意！
2024年11月7日 · 智能眼镜2【钛空光学镜.】发布会新品！,爱了爱了，颜值担当，操作简单便捷，音质也不错！
2024年11月7日 · 飞行员光学眼镜2+【送飞行员墨镜夹片.】,物美价廉，音质还行，主要是不用戴耳机，耳朵负担小了好多，而且也很好看
2024年11月9日 · 飞行员光学眼镜2+【送飞行员墨镜夹片.】,超级好用，眼镜的这个耳机给我带来了全新体验，特别方便，好用，摸鱼神器。
2024年12月11日 · 智能眼镜2【方形半框光学镜】发布会新品！,很智能，老公30岁生日礼物，很喜欢
2024年12月11日 · 飞行员光学眼镜2+【送飞行员夜间驾驶夹片.】,成功拿下华为眼镜2！之前用的1用了好几年了，发现这个产品续航才是刚需，看到2现在价格合适、续航升级、重量减轻了，果断入手了美美拿下
2024年12月12日 · 【加购送价值269元前框.】钛空光学镜+飞行员2透灰色前框,眼镜符合预期，也很适合脸型，触碰很灵敏，期待后续使用效果
2024年12月13日 · 【加购送价值269元前框.】钛空光学镜+飞行员2透灰色前框,本次配镜蛮满意的，中间犹豫过，好在客服楚然非常专业且耐心细致，才下定决心买了这付眼镜，近视➕散光和去门店配的别无二致，连接华为当然没问题，连苹果16也同样顺利，相当不错�
2024年12月15日 · 智能眼镜2【钛空光学镜】发布会新品！,戴上挺轻快，戴上就自动开机连接手机，响应速度也快，做工精细美观
2024年12月16日 · 金丝光学眼镜2+【送墨镜夹片】,客服非常仔細的詢問，讓一頭霧水的我搞清楚需要下單的各選項，非常好的購買體驗。
2024年12月16日 · 金丝光学眼镜2【加购送墨镜夹片.】,五星好评，非常好！顺丰很快就到了！
2024年12月18日 · 智能眼镜2【钛空光学镜】发布会新品！,发来是这种变形的  发回去换  他们第二天就收到退货了  多次催促 过了好几天才发货   退货运费十八元也不给   找淘宝小二投诉去
2024年12月19日 · 金丝光学眼镜2【加购送墨镜夹片.】,质量很好，音质很好，快速连接，充电很快，充一次电用两天，效果不是一般几百块钱的可比，值得拥有。
2024年12月20日 · 智能眼镜2【钛空光学镜.】发布会新品！,钛空的颜值非常高，音质也不错，一般带一天的电量完全够用
2024年12月20日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,续航能力没虚标   发货速度很快  客服服务态度好有耐心
2024年12月21日 · 【加购送价值269元前框】钛空光学镜+飞行员2透灰色前框,眼镜很喜欢声音清晰，续航有十多个小时，外观也很靓，很喜欢的一次购物
2024年12月22日 · 智能眼镜2【方形无框光学镜.】发布会新品！,眼镜是正品，戴上很漂亮。通话也很清楚。太喜欢了
2024年12月22日 · 智能眼镜2【方形无框光学镜】发布会新品！,比较轻 很快适应了，是去本地华为中心调试的，接电话方便、摸鱼不错
2024年12月22日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,眼镜收到了，和体验店的一模一样，很轻，真的不怎么漏音，期待接下来的正常使用体验
2024年12月23日 · 智能眼镜2【方形无框光学镜.】发布会新品！,这款眼镜的质量很好，佩戴舒适。卖家的服务态度非常好，发货速度快，非常满意！
2024年12月24日 · 智能眼镜2【方形半框光学镜】发布会新品！,可以，比想象中轻，关键是续航能力强。
2024年12月24日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,眼镜真的很不错，看起来也高大上。送的眼镜盒和普通眼镜盒质感也不一样，先试试一段时间，希望好用。
2024年12月25日 · 智能眼镜2【方形无框光学镜.】发布会新品！,非常满意，眼镜度数也合适。很轻便、很容易上手，并不复杂。总体满意。
2024年12月26日 · 智能眼镜2【钛空光学镜】发布会新品！,很好的眼镜，度数配得很准，听小说和音乐都很好，隐私性很强�。
2024年12月27日 · 智能眼镜2【方形无框光学镜.】发布会新品！,发货速度很快，因为定做了镜片也就三天就到了，戴上了挺不错的，一次不错的购物体验！
2024年12月27日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,眼镜设计的特别好，客服解释也很耐心，送的礼品也很到位！
2024年12月28日 · 智能眼镜2【钛空光学镜】发布会新品！,东西不错，是正品无疑，还送了小礼物，很好用，以后还会来的。
2024年12月28日 · 智能眼镜2【钛空光学镜】发布会新品！,产品很好，客服也很好！很耐心解答我很多问题，还送了小礼物.愉快的购物体验！
2024年12月29日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框,佩戴感觉还不错，快递也很快，还送了很多赠品
2024年12月30日 · 智能眼镜2【方形半框光学镜】发布会新品！,用着不错，听着很清晰，外观也好看，强烈推荐
2024年12月31日 · 智能眼镜2【钛空光学镜】发布会新品！,体验感不错 比手表方便好多 音效效果很棒！
2024年12月31日 · 智能眼镜2【钛空光学镜】发布会新品！,非常好用，只正品，质量很好，商家送了很多礼物，物所超值
2024年12月3日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框.,眼镜非常时尚，大气，细节方便做的很好，比一代轻便很多音质很好，你不说没人发现你带的只能眼镜摸鱼神器
2024年12月3日 · 智能眼镜2【方形半框光学镜.】发布会新品！,物流很快，宝贝收到，东西齐全，用着还不错，眼睛戴着老往下滑，平时自己也不戴眼镜，肯能是自己没有调整好估计需要到店里调整一下，鼻梁处感觉有点宽，总体感觉用下来还行，没有做过极限测试不知道一直用电的情况下能用多久。
2024年12月3日 · 智能眼镜2【金丝光学镜】发布会新品！,发货很快，当晚下单，第二天收到。
2024年12月3日 · 智能眼镜2【钛空光学镜.】发布会新品！,眼镜非常好，质量也好，带上清晰，非常喜欢！
2024年12月4日 · 智能眼镜2【方形无框光学镜】发布会新品！,诺言客服耐心细心，不愧为华为大品牌，质量流畅度是非常棒！用上了就摘不下来了
2024年12月4日 · 智能眼镜2【飞行员光学镜.】发布会新品！,试用了，音质很不错，商家客服服务好，耐心解答，是正品，匹配度数准确，价格实惠，好
2024年12月5日 · 智能眼镜2【方形半框光学镜.】发布会新品！,非常好用，蓝牙及语音通话均比较清晰，开车也方便。
2024年12月5日 · 智能眼镜2【方形无框光学镜】发布会新品！,必须给一个中肯的评价。华为不是传说中的遥遥领先。 1：我买的是无框的，重量最轻的。但是还是待久了会感觉很压鼻子和耳朵。 2：收到以后漏音很明显啊。我第一次摸鱼就被抓了。开会能听见的。明显不如骨传导的效果。和第一次用华为手表体验感相差太远了。 3：眼镜的度数配的还算准确。 4：充电一般1个半小时吧。 5：运输时间远远超过客服预想的。 6：没有任何惊艳的地方。算是中规中矩。 7：时尚度很一般。可能是人丑。 8：待机时间一般。 6：调音和挂断灵敏度都很一般。
2024年12月6日 · 智能眼镜2【方形无框光学镜】发布会新品！,眼镜音质很好，除非特别嘈杂，一般听的很清楚，也解放了双手；镜片配的也很合适，用无框的朋友要注意，两侧的螺丝可能会有点影响视线；中间有点问题，已于商家沟通好了。
2024年12月6日 · 飞行员光学眼镜2+【送飞行员夜间驾驶夹片.】,飞机员镜框非常好看，眼镜是正品，蓝牙连接也比较灵敏，不重，戴上没有重物感，非常满意
2024年12月7日 · 智能眼镜2【飞行员光学镜.】发布会新品！,很喜欢！好看的，看上很久了，到手不失望，客服诺言很好，有耐心
2024年12月8日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2黑白渐变前框,作为一个华为产品的发烧友，在今天也是把华为的日常穿戴产品都拿下了，选的是飞行员的镜框，平光镜，款式的设计还是很好看的，把自己平常佩戴的眼镜换掉后，其实算不上变化很大，区别于上一代智能眼镜，镜腿更加细，整体更加轻便，但是上一代的镜框与镜腿拆卸更加便捷，或许是频繁拆卸导致的贴合度降低或者触碰掉落等原因，这一代的镜框更换需要用螺丝刀拆卸。 没有特别吸引的功能，我想不是华为产品的发烧友，同时又日常佩戴眼镜的话，智能眼镜的选购应该不是必须，但是颈椎监测的功能还是有点意思，期待更好更多的功能开发。 我觉得没有什么槽点，硬要说的话，镜腿的设计可能容易在低头的时候掉下来一点，但在配置一副眼镜动辄上千的今天，花差不多的价格买一副华为的智能眼镜，也是一种有意思的选择。
2024年12月8日 · 智能眼镜2【金丝光学镜.】发布会新品！,音质不错，款式好看，不错不错！
2024年12月8日 · 智能眼镜2【钛空光学镜.】发布会新品！,华为还是很不错的，第二次购买了，男盆友很喜欢，说要一直回购呢，哈哈，喜欢的不行，客服服务态度也是超级好，给个赞，
2024年12月9日 · 【加购送价值269元前框】钛空光学镜+飞行员2透灰色前框,带上感觉不重，声音也清晰，用一段时间再来评价，希望是一次满意的购物
2024年12月9日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框.,应该是正品，配镜免费，用起来很方便！
2024年1月10日 · 智能眼镜2【飞行员光学镜】2023新品,对眼镜比较满意，复合心理预期，音质很不错，身临其境的感觉，用着很方便，对办公人士很友好
2024年1月10日 · 智能眼镜2【飞行员光学镜】2023新品,用了一段时间才来评价。 这款华为眼镜真的不错，镜身轻巧，用着舒适，续航时间长，正常音量下声音外露可以忽略不计，而且自己听得很清楚，音质不错。 值得购买，推荐！
2024年1月11日 · 智能眼镜2【金丝光学镜】2023新品,眼镜很智能，戴上很舒服，还有礼品赠送
2024年1月13日 · 智能眼镜2【飞行员光学镜】2023新品,真的蛮喜欢的，到手用了两天就来确认啦���很喜欢的电子产品很棒
2024年1月14日 · 智能眼镜2【钛空光学镜】2023新品,看着比自己的大，但是带上去并不沉，可能是中心转移不压鼻梁，加油华为
2024年1月17日 · 智能眼镜2【金丝光学镜】2023新品,不错，戴着干家务骑车时候听课都比较方便
2024年1月17日 · 智能眼镜2【飞行员光学镜】2023新品,虽然看着镜腿很粗，但到手发现也不算很重，去配镜片的时候店员也惊讶说这么轻啊…多设备间配对转换很快，使用起来很方便
2024年1月19日 · 智能眼镜2【方形半框光学镜】2023新品,音量最大续航时间长差不多有11小时
2024年1月19日 · 智能眼镜2【金丝光学镜】发部会新品！,买给老婆的生日礼物，金丝光学这款比较适合她的脸型，她很喜欢
2024年1月20日 · 智能眼镜2【飞行员光学镜】2023新品,挺好看的  重量合适带着不累 声音不是特别吵的地方都比较清晰
2024年1月20日 · 智能眼镜2【飞行员光学镜】2023新品,款式潮流帅气，我愿称之为现在市面上智能眼镜的颜值天花板。 电话声音清晰，社交距离不会漏音，贴到耳朵边上能听见一点，孩子很喜欢。  顺便分享一个换镜片小技巧，用热吹风机吹一下镜框，就能轻松掰下来自己换镜片了�
2024年1月20日 · 智能眼镜2【飞行员光学镜】2023新品,耳机在地铁里也可以听清楚，还给熟悉的同事来了点小小的华为震撼，真的不错！
