日期及型号,评论
2024年11月27日 · 【AR lite眼镜+主机套装】空间电脑随身携带,科技感满满，做工精致，质量好，价格实惠，值得购买。尤其是对于我这近视人群太方便了，以后出门不用担心路途焦虑了，大大的赞��
2024年11月28日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品试用了效果很不错，功能很强大
2024年11月28日 · 【AR lite眼镜+主机套装】空间电脑随身携带,很有信誉，物流及时，品质良好
2024年11月28日 · 【AR lite眼镜+主机套装】空间电脑随身携带,第一次购买此类产品，很惊艳和新奇，完全可以摆脱手机去体验很多APP，产品外观设计做工都很精致，显示效果可以自己调节，显示清晰，其他功能目前还在摸索中，体验感蛮好。谢谢客服十月，热情耐心细致的讲解和解答。
2024年11月28日 · 【AR lite眼镜+主机套装】空间电脑随身携带,非常开心能入手Rokid这套Lite新品，期待从此能打开新世界的大门
2024年11月29日 · 【AR lite眼镜+主机套装】空间电脑随身携带,Rokid产品的忠实用户，这次lite套装应该是有了颠覆性变革，MAX 2的屏幕使用感受有了跃升，Station也终于迎来了升级，Station 2的易用性明显优于友商做成类似手机的鸡肋产品。客服［十月］服务细致周到，点个赞。
2024年11月29日 · 【AR lite眼镜+主机套装】空间电脑随身携带,这款眼镜让我打开了新世界的大门，清晰的显示画面，智能化的控制面板，带来了极致的观影体验，希望未来可以增加显示透明化的功能，做到边走边看的实用效果
2024年11月30日 · 【AR lite眼镜+主机套装】空间电脑随身携带,总体还是不错的，非常适合办公+娱乐，提升不少效率，值得买入体验！大势所趋啦
2024年12月12日 · 【AR lite眼镜+主机套装】空间电脑随身携带,收到货啦，小激动呢，等用了再追加评价
2024年12月12日 · 【AR lite眼镜+主机套装】空间电脑随身携带,送给老公的生日礼物 码农表示很喜欢 偶尔旅行办公也很方便 客服九月非常耐心的解答非常周到
2024年12月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,Rokid max2 发货迅速，双十二正好赶上政府补贴。价格优惠。第二天收到，立马开箱试机，画面清晰，巨幕有震撼感，使用方便。应用商店有各种app可供下载使用。其近视度数及瞳距调节是选择的重要因素之一。希望继续更新和优化。
2024年12月1日 · 【AR lite眼镜+主机套装】空间电脑随身携带,之前没用过，刚刚上手实用有待摸索，不过看电影，和有的游戏效果非常棒，非常不同的体验，自己慢慢摸索，应该还有许多拓展。
2024年12月2日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品不错 满足预期 适合晚上陪娃睡觉时候使用 客服十月耐心解答  为什么预定权益要和预购权益两者二选一呢
2024年12月2日 · 【AR lite眼镜+主机套装】空间电脑随身携带,总体来说。 AR智能眼镜戴上比较轻便。主机轻度发热能够接受。客户服务比较周到。更多功能还在摸索中。
2024年12月3日 · 【AR lite眼镜+主机套装】空间电脑随身携带,可调节近视度数，不用额外配镜片，比较方便。在公共场所声音听不清，在客服十月的帮助下，加了蓝牙降噪耳塞后，效果提升明显。
2024年12月4日 · 【AR lite眼镜+主机套装】空间电脑随身携带,使用体验很不错，屈光度可调节对近视比较友好，大屏观影体验很不错，十月客服的服务态度非常好
2024年12月4日 · 【AR lite眼镜+主机套装】空间电脑随身携带,绝对值得入手，出差神器。视觉效果同比上一代堪称震撼级别的提神。
2024年12月4日 · 【AR lite眼镜+主机套装】空间电脑随身携带,还不错，主要是不影响孩子对颈椎好，刚带上有一点点重，时间长了就还不错，主要是方便啊，科技改变生活。很适合外出旅游哦，非常感谢客服九月，不错的商品。
2024年12月4日 · 【AR lite眼镜+主机套装】空间电脑随身携带,非常清晰，有创意的一款产品，大家都可以试试
2024年12月5日 · 【AR lite眼镜+主机套装】空间电脑随身携带,刚买身边就有很多小伙伴想体验，眼镜还是很新奇的。暂时只体验了看电影，感受和在电影院看差别不大。挺好
2024年12月5日 · 【AR lite眼镜+主机套装】空间电脑随身携带,老用户了，最近友商硬件发展很快哦，得加油了
2024年12月8日 · 【AR lite眼镜+主机套装】空间电脑随身携带,东西不错，眼镜自带屈光是最舒服的。
2024年12月8日 · 【AR lite眼镜+主机套装】空间电脑随身携带,优点就是可以带出门，不重，不用担心一会就没电
2024年9月18日 · AR lite极夜黑,作为rokid老粉，等了这么久，这款产品也是早早拿到手体验了，真的超出我的期待，amazing！！！没想到短短几年技术迭代的这么快，这套AR设备已经完全不是之前的AR眼镜了！之前的包括目前市面上的AR眼镜更多的只是一个大屏显示设备，而这款ARLITE可以完全替代我的电脑、平板，甚至更便捷，更舒适。我现在出门已经不带电脑平板了，一盒眼镜套装+折叠键盘能对付所有场景！我在想如果后面能接打电话那不是手机也不用了？系统交互做的很不错，很多玩法还在摸索中，目前发现接个蓝牙键盘会方便很多！支持rokid，期待更多更好的产品！
2024年9月18日 · AR lite极夜黑,我是一名文案编辑，有个爱游戏的朋友跟我吹了很久这款ARLITE，我也抱着尝鲜的态度入了，用了差不多半个月吧，逐渐发现我现在好像已经离不开他了。之前每天码字大几千，有时候还要做一些视频剪辑，出差的时候一上火车飞机，已经条件反射性地拿出笔记本电脑连好耳机准备码字了，别人可能看着很city，实际上一点都不方便，也没有什么隐私！但是！！！我现在无论是在火车、地铁、飞机还是汽车上，只需要一盒眼镜+键盘，就能很轻松地完成我的工作，也不用低头了，隔壁的人也看不到屏幕，真的是很完美的体验！还有这个ARLITE可以三个程序同时运行，我可以边查资料边码字，有时候还会看一些视频找灵感，效率咔咔提升！我推荐到作手群里其他群友都疯了，希望能尽快全面开卖吧，已经好几个朋友找我借了
2024年9月19日 · AR lite极夜黑,关注了挺久这款产品，等了半年终于拿到手，串流表现很不错，PS5，Switch，xbox，steamdeck都能连，支持1200分辨率，能调120hz高刷，大屏玩游戏很爽，还可以用云资源玩很多免费游戏。蓝牙能同时连鼠标键盘手柄耳机，现在家里几万配的电脑都不太用了哈哈。300多英寸的大屏玩一些FPP的游戏沉浸感简直拉满，看电影3D模式也巨爽！不说了，我要去跟浩浩妈练瑜伽了
2024年9月20日 · AR lite极夜黑,应该是最早一批抢到这款lite的用户了，感觉很幸运能得到这么一款完全超出自己预期的产品！平时大多数时间都在处理工作，聊天沟通。用这款arlite三联屏可以同时看邮件，发信息，看新闻，逛淘宝小红书微博知乎，甚至刷刷视频，听听小说。办公也没有那么枯燥乏味了！而且很轻便，出差出门装包里，一路上使用可以100%更好地利用碎片化时间，屏幕大看着舒服，用久了也不会累。对比下来自己的笔记本和折叠屏手机都可以闲置了。有点开始期待这个行业后面会发展成什么样了！
2024年9月24日 · AR lite极夜黑,当时在线下体验完这款产品之后我就下单了，等了好久终于收到货！之前也用过很多ARVR产品，感觉这款ARLITE就是冲着手机和电脑去的，当前的技术居然已经能基本平替了！我现在出门都不带电脑平板了，很方便。除了大屏和三联屏之外，最让我意外的是里面的应用中心和应用宝，安卓所有应用都能下载使用真的绝！还有一些空间应用也很精彩。除了能调节近视度数，里面居然还能调瞳距，在不断探索功能的过程中，这款眼镜也在不断地给我惊喜。
2025年1月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,拿到就用了一个下午，终于找到一个可以让我摆脱手机的产品了，回头配个蓝牙键盘，试试看能不能替换电脑，三联屏太爽了。
2025年1月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,第一次购买体验AR产品，讲真话，这款产品超出我的预期，体验非常好，值得拥有！一点小建议，希望在软件生态上做得更好些。
2025年1月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,不错，试用了一代，看了最新的发布产品回来试用了一周，的确产品在进步，值得购买
2025年1月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,好产品，年前物流也很快安排了。 客服九月解答非常耐心，好评。
2025年1月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,太牛了！跟之前买过其他品牌的一对比，天壤之别！
2025年2月12日 · 【AR lite眼镜+主机套装】空间电脑随身携带,买了全套的设备，使用全套设备的时候和不使用官方外接机器只连接dp设备的时候相比官方全套设备比较好。个人感觉射线模式是最方便使用的。耗电确实很快不过充电也很方便，用华为的充电线都能充，充电兼容性很好。发热情况也存在，不过在冬天的话发热刚好可以做暖手宝哈哈。 还是比较推荐的
2025年2月14日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品很好，图像清晰，操作简单，功能强大，点赞
2025年2月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,非常满意的一次购物，性价比超级高！一分钱一分货！绝对值得！另外客服“九月”的服务让我非常满意！态度服务没得话说！满意十分！！！
2025年2月21日 · 【AR lite眼镜+主机套装】空间电脑随身携带,下单之后第二天就收到了宝贝，外观又酷又炫，看空间视频3D电影简直爽的不要不要的，超宽屏幕，高刷新率高清晰度，一句话：美不胜收！同时可以加载三个屏幕，也是同时可以打开三个App，一边看电影、一边写工作总结、还可以一边聊天呢��
2025年2月22日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品很惊艳，值得购买，3d 效果超级棒，在家躺着就能享受影院级的大屏幕观影，值得推荐购买。
2025年2月22日 · 【AR lite眼镜+主机套装】空间电脑随身携带,惊艳！第一次用ar产品，功能强大，很多东西需要慢慢消化。
2025年2月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,Rokid Max2智能AR眼镜的体验远超预期！轻量化设计佩戴舒适无压迫感，独创的1080P高清巨幕投影效果惊艳，画面锐利色彩饱满，配合空间音频技术带来沉浸式影院级体验。自由屈光度调节功能对近视用户极度友好，一键切换2D/3D模式让娱乐场景更多元。磁吸遮光片设计巧妙，办公时秒变私密显示器，游戏观影时又化身全景视界。Type-C直连功能兼容性强，搭配便携充电舱续航无忧。无论是科技感、实用性还是性价比都堪称AR眼镜标杆，重新定义了移动端影音娱乐方式！
2025年2月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,十月客服很热情，产品实在不错，可以共享电脑，手机，使用也方便，近视眼可以很ok，办公，娱乐多挺好，眼镜也不重，佩戴也很好，不会头晕。清晰度也挺好，目前速度多挺快！继续解锁，再来评价！
2025年2月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,很棒的科技AR产品，新科技方便生活。操作方便，赞赞赞！五星好评！
2025年2月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,拔草。用来尝鲜还行，实用度一般。相信会越做越好，加油！
2025年2月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,朋友推荐，出差的时候在高铁上特别好用，我在路上就是看电影玩游戏，发烫情况也还好，一般玩1小时左右有点微微烫，玩手机也会啊，能接受，电量的话我高铁2个半小时消耗一半多点，觉得还挺耐用，可以用充电宝充，出差必备，小孩子也很喜欢，一起买了2台，一台送客户了，送礼佳品，客户很喜欢。
2025年2月23日 · 【AR lite眼镜+主机套装】空间电脑随身携带,画面很清晰，透视的感觉很爽，3连屏只能一个屏幕做投屏，w10无线投屏需要下app。苹果手机电脑无线投屏正常。ar全景软件感觉少还在探索中。声音很舒服。客户很对我很耐心。不是我想的无线投屏电脑三个屏幕有点失望。但还是很好的。全新的一种体验。
2025年2月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,下单第二天就收到，立马开箱试机，画面清晰，近视度数调节方便，操作方便。应用商店有各种app可供下载使用。播放nas的3d视频有点问题。希望继续更新和优化。真的很好用
2025年2月24日 · 【AR lite眼镜+主机套装】空间电脑随身携带,为创新买单，能满足我看电影需求即可，手机实在是看不动了 客服七月很优秀
2025年2月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,为了培训时候方便，脑海里不用记太多知识买的，就是戴久了有点晕，眼睛有点困，度数感觉会加深，每天控制使用时间就好了，整体还是挺好的，比visionpro方便多了
2025年2月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,收了用了两天，感觉还是可以，可能是膜没撕，之前总觉得模糊，里面的资源要会员，会送视频，总体还是很不错
2025年2月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,格局还是不够高，用户肯定是诚信想要用才来你们这里买的。但这一看包装...拆封以后就不能退，万一你的东西和用户需求不符呢。有点强买强卖的意思，直接退了。
2025年2月25日 · 【AR lite眼镜+主机套装】空间电脑随身携带,用过非常满意值得购买。
2025年2月26日 · 【AR lite眼镜+主机套装】空间电脑随身携带,一般，体验没有VR眼镜好。屏幕有点是清晰，但视场太窄。
2025年2月26日 · 【AR lite眼镜+主机套装】空间电脑随身携带,千垃圾产品！用几分钟就黑屏！不能换货！
2025年2月26日 · 【AR lite眼镜+主机套装】空间电脑随身携带,小巧便携，最喜欢用它追剧、看电影，手残适用。
2025年2月26日 · 【AR lite眼镜+主机套装】空间电脑随身携带,质量很好，画质清晰，色彩艳丽，银幕宽大，视觉效果很好，操作简单，人性化设计，续航能力强……目前除了几个视频网站可以看3D，其他的不能切换，希望早点升级优化。客服回复也很快，使用到现在还是很满意的，
