title--qJ7Xg_90,title--qJ7Xg_90 2,title--qJ7Xg_90 3,title--qJ7Xg_90 4,text--eAiSCa_r,priceInt--yqqZMJ5a,priceFloat--XpixvyQ1,priceDesc--jykuwuhx,realSales--XZJiepmt,procity--wlcT2xH9,procity--wlcT2xH9 2,subIconWrapper--Vl8zAdQn,subIconWrapper--Vl8zAdQn 2,shopNameText--DmtlsDKm,title--qJ7Xg_90 5,subIconWrapper--Vl8zAdQn 3,shopTagText--wujObz6g
【蔡司近视定制款】雷鸟V3 AI拍摄 无线蓝牙音频 无线蓝牙耳机语音操控,眼镜,智能,眼镜,,2147,0.03,券后价,20人收货,广东,东莞,热销爆款,满1500减150,雷鸟智能眼镜旗舰店,智能,3期,回头客1万
NOLO Sonic VR游戏一体机私人影院头戴显示器体感4k3d家用可以玩游戏虚拟现实steam设备,眼镜,智能,眼镜,高通,1697,0.03,券后价,19人收货,陕西,西安,满1500减150,官方立减12%,nolo旗舰店,,淘金币已抵1.97元,7年老店
【送折叠键盘＋手柄】RokidARLite乐奇ARmax2若琪air3d观影游戏手机ai非VR支持三联屏全生态应用,智能,眼镜,,,1597,0.03,券后价,18人收货,湖北,武汉,满1500减150,官方立减850元,严选智能设备专营店,,12期,
【新品首发】雷鸟RayNeo Air 3s 口袋电视AR高清观影非vr支持iPhone16,智能,眼镜,眼镜,,1497,0.03,券后价,行业销量前20,广东,东莞,热销爆款,满800减80,雷鸟智能眼镜旗舰店,,官方立减12%,回头客1万
二手原装正品XREAL Air 2 proarxr私人影院vr3D视频,智能,眼镜,眼镜,,470,,,15人收货,江苏,无锡,3期,,西城智能数码,,,
iTour亲爱的翻译官AR翻译实时翻译同传在线翻译英语AI,眼镜,智能,,ChatGPT,5499,,券后价,15人收货,安徽,合肥,包邮,,iTour 亲爱的翻译官企业店,,,回头客3千
国补立减15%！2025新款 华为2免费配镜送镜片,智能,眼镜,,5.3,1279,,补贴价,本月行业热销,河南,郑州,热销爆款,满800减80,华为舒耀专卖店,,已补700元,回头客5万
【晒单返现100元】INMO GO2AR实时同声翻译 演讲提词器AI会议助手出国旅游留学翻译机非亲爱的翻译官,智能,眼镜,,,3997,0.03,券后价,14人收货,湖北,武汉,满1500减150,官方立减1000元,严选智能设备专营店,,12期,
【政府补贴 立减15%】INMO GO2 AR提词器隐形演讲 实时翻译机同声字幕 出国翻译官神器 AI,智能,眼镜,眼镜,,3997,0.03,券后价,14人收货,广东,深圳,热销爆款,满1500减150,INMO旗舰店,,官方立减12%,
【国家补贴立省15%】PICO4Ultra MR一体机3D体感游戏机SteamVR游戏串流4K+非AR头显visionpro,眼镜,智能,眼镜,MicroOLED,4197,0.03,券后价,14人收货,上海,,热销爆款,满1500减150,PICO上海专卖店,,官方立减1000元,
2025新品发售 华为2钛空圆框光学镜飞行员变框蔡司配镜片太阳墨镜,智能,眼镜,,,1279,,补贴价,行业销量前20,河南,郑州,热销爆款,满800减80,华为乐之途专卖店,,已补500元,回头客3万
二手原装正品雷鸟Air 2s/1sARxr高清观影巨幕便携vr,智能,眼镜,眼镜,MicroOLED,389,,,14人收货,江苏,无锡,3期,,西城智能数码,,,
【国家补贴15%】华为2钛空钛金属飞行员变框配镜太阳墨镜通话蓝牙耳机4代智慧播报二代黑科技,智能,眼镜,眼镜,,1279,,券后价,14人收货,河南,郑州,满800减80,官方立减12%,华为乐之途专卖店,,退货宝,回头客3万
【新品】Xiaomi小米AI2025年度新品骨传导高清视频拍摄录制可支付超长续航男女同款墨镜,眼镜,智能,眼镜,,1999,,券后价,12人收货,广东,东莞,包邮,,小米沈辰专卖店,智能,,
二手Pico 4Neo3/4先锋版vr一体机vr3dvr游戏视频,眼镜,智能,眼镜,,1170,,券后价,12人收货,广东,深圳,包邮,,优品电玩,眼镜,,12年老店
新品NOLO N3 vr全景私人av设备私人影院手机专用头戴显示器黑科技3d虚拟现实适配安卓苹果手机,眼镜,智能,智能,不支持智能,287,0.03,券后价,11人收货,陕西,西安,满200减20,官方立减12%,nolo旗舰店,,3期,7年老店
【入会下单立减250 赠依视路镜片】PICO 4 Ultra一体机vr全景vrvr设备一体机vr投屏vr游戏,智能,眼镜,眼镜,LCD,4997,0.03,券后价,11人收货,山东,青岛,满1500减150,官方立减12%,PICO旗舰店,眼镜,淘金币已抵1.97元,回头客1千
【支持88VIP消费券】VITURE OneAR电致变色近视调节观影游戏空间视频 支持3DoF XRvisionpro平替,智能,眼镜,眼镜,MicroOLED,1717,0.03,券后价,11人收货,广东,广州,热销爆款,满1500减150,Viture智能设备旗舰店,,官方立减12%,
【加送便携包+爱奇艺季卡】PICO 4 Ultra MR 混合现实一体机 VR4k高清AI3D串流Steam虚拟现实,眼镜,智能,眼镜,高通,4297,0.03,券后价,9人收货,湖北,武汉,满1500减150,官方立减800元,PICO蚂蚁专卖店,,12期,5年老店
新款PICO4 Pro VR一体机3DVR游戏机4K高清电影pico ultra,智能,眼镜,,高通,2799,,券后价,9人收货,广东,深圳,店铺满2000减80,包邮,源创想数码科技,,,10年老店
【入会下单立减250 赠依视路镜片】PICO 4 Ultra 一体机vr全景vrvr设备一体机vr投屏vr游戏,智能,眼镜,眼镜,高通,4697,0.03,券后价,9人收货,山东,青岛,热销爆款,满1500减150,PICO旗舰店,眼镜,官方立减12%,回头客1千
【国补立减15% 叠加88vip消费券】RokidARLite乐奇AR若琪air观影3D翻译ai直连手机非VRvisionpro,智能,眼镜,眼镜,高通,1370,0.88,券后价,8人收货,浙江,杭州,官方立减12%,12期,rokid旗舰店,,淘金币已抵1.97元,回头客1千
雷鸟V3 AI拍摄语音控制蓝牙耳机拍照录视频Vlog,眼镜,智能,眼镜,,1659,0.58,券后价,8人收货,上海,,热销爆款,满1500减150,天猫超市,眼镜,,买过的店
雷鸟V3充电盒款AI拍摄无线蓝牙音频耳机语音操控镜架款,智能,眼镜,,,1663,0.03,券后价,8人收货,湖南,长沙,3期,淘金币已抵1.97元,租天下数码,,包邮,17年老店
GOOVIS G3X超清3D头显 非VR/AROLED头戴显示器沉浸/开放两用观影办公视频,眼镜,智能,眼镜,,3839,,券后价,8人收货,广东,深圳,满1500减150,官方立减660元,goovis酷睿视旗舰店,,6期,7年老店
雷鸟Air3s口袋电视AR高清观影vr支持iPhone16,智能,眼镜,眼镜,MicroOLED,1379,,券后价,7人收货,北京,,退货宝,包邮,兆为VR,,,
小鸟看看Pico4四代VR一体机neo3全景游戏虚拟现实头盔3D,智能,眼镜,,高通,1599,,,7人收货,湖南,湘潭,3期,退货宝,彩蚕科技,,包邮,17年老店
【晒单返现100元】INMO GO2 AR提词器隐形演讲 多国语言实时翻译同声字幕 出国翻译神器 AI,智能,眼镜,眼镜,,3997,0.03,券后价,7人收货,湖北,武汉,满1500减150,官方立减1400元,严选智能设备专营店,,6期,
GOOVIS HDMI转Type-C转接器HC3.1适用于ARXR头显设备雷鸟/魅族StarV/Rokid/XREAL,智能,眼镜,,,278,0.03,券后价,7人收货,广东,深圳,官方立减12%,淘金币已抵1.97元,积善嘉品智能设备专营店,,退货宝,
【官方正品授权】GOOVIS Art高清3D头戴显示器非VR/AR可适配电脑掌机手机平板观影游戏航拍办公,智能,眼镜,,MicroOLED,3497,0.03,券后价,7人收货,广东,深圳,24期,淘金币已抵1.97元,积善嘉品智能设备专营店,,退货宝,
【加送便携包＋爱奇艺季卡】PICO 4 Ultra MR 混合现实一体机VR4k高清AI3D串流Steam虚拟现实,眼镜,智能,眼镜,,4297,0.03,券后价,7人收货,湖北,武汉,满1500减150,官方立减800元,严选智能设备专营店,,淘金币已抵1.97元,
[新品上市]xiaomi小米AI拍摄无线骨传导语音通话glasses,眼镜,智能,,,1898,,,7人收货,广东,深圳,包邮,,XR智能易光,,,
ROKID AR liteAR空间计Max2+station2 Rokid max,智能,眼镜,智能,苹果,1399,,,6人收货,北京,,包邮,,WASSUP 官店,眼镜,,
GOOVIS G3 Max头戴3D巨幕显示器 非vr/ar头戴影院5K级高清视频IMAX级观影头显近视可调,眼镜,智能,眼镜,,6829,,券后价,6人收货,广东,深圳,满1500减150,官方立减1170元,goovis酷睿视旗舰店,,6期,7年老店
pico4 pro vr一体机4k体感VR设备512g高配,智能,,,,2839,,券后价,6人收货,北京,,包邮,,VR设备馆,,,
【官方正品授权】GOOVIS D4 Lite移动观影主机超级媒体播放器头戴显示器控制盒ARVRXR通用双typec,智能,眼镜,,,1297,0.03,券后价,6人收货,广东,深圳,满800减80,官方立减12%,积善嘉品智能设备专营店,,24期,
小米AI无线骨传导拍摄蓝牙语言通话拍照翻译长续航,眼镜,智能,眼镜,,2169,0.01,券后价,6人收货,广东,广州,店铺满11减10,包邮,小米之家智能正品店,,,
【热卖爆款】雷鸟V3 AI拍摄无线蓝牙音频,眼镜,智能,智能,MicroOLED,1349,0.1,券后价,6人收货,北京,,退货宝,包邮,兆为VR,眼镜,,
雷鸟V3新品 AI拍摄 第一视角无线蓝牙音频 无线耳机语音操控镜架款 非平光镜非VRAR,眼镜,智能,眼镜,高通,1750,0.91,券后价,6人收货,浙江,杭州,满1500减150,官方立减12%,天天特卖工厂,智能,淘金币已抵1.97元,买过的店
【手游神器】VITURE x 8BitDo联名猎户座可拉伸游戏手柄 AR安卓手游专属适配游戏原神绝区零鸣潮星穹铁道,眼镜,,,,497,0.03,券后价,5人收货,广东,广州,满200减20,官方立减12%,Viture智能设备旗舰店,,淘金币已抵1.97元,
Xiaomi小米AI小米骨传导拍摄超级小爱小米ai,眼镜,智能,眼镜,,1705,,券后价,5人收货,广东,深圳,退货宝,包邮,金怡数码科技,眼镜,,
【爆款】雷鸟air3 ar100英寸巨幕观影黑科技便携口袋电视,智能,眼镜,,不支持智能,1349,,券后价,5人收货,上海,,30天价保,退货宝,兆为VR,,包邮,
出租Rokid AR Lite若琪AR max2 高清巨幕游戏翻译一体机,智能,眼镜,,,38,0.7,券后价,5人收货,浙江,杭州,官方立减12%,淘金币已抵0.9元,闪速租赁企业店,,包邮,
Pico4/piconeo3 全新VR二手pico VR一体机3DVR视频,眼镜,智能,眼镜,LCD,999,,,5人收货,重庆,,3期,退货宝,EasinVR数码,,包邮,
雷鸟V3SlimAI拍摄无线蓝牙音频镜架款,眼镜,智能,眼镜,MicroOLED,1579,,券后价,5人收货,北京,,退货宝,包邮,兆为VR,眼镜,,
二手Pico 4Neo3/4先锋版vr一体机vr3dvr游戏视频,眼镜,智能,眼镜,,699,,,5人收货,江苏,无锡,3期,包邮,西城智能数码,眼镜,,
二手Pico 4 畅玩版256G VR一体机4K体感游戏机3D虚拟现实,眼镜,智能,,,1910,,,5人收货,江苏,无锡,,,神奇宝贝数码,,,
华为三代飞行员墨镜可更换镜框华为耳机蓝牙耳机开放式,智能,眼镜,,,599,,券后价,5人收货,河南,郑州,官方立减12%,包邮,极锐数码,,,回头客7千
华为2钛空4代耳机蓝牙华为蓝牙二代四代配防蓝光镜片,智能,眼镜,眼镜,5.3,1279,,补贴价,本月行业热销,广东,深圳,热销爆款,满800减80,华为五洲联鑫专卖店,,已补800元,回头客6万
【蔡司近视定制款】雷鸟RayNeo V3 Slim AI拍摄无线蓝牙音频无线耳机语音操控镜架款,眼镜,智能,眼镜,,2147,0.03,券后价,4人收货,广东,广州,3期,淘金币已抵1.97元,雷鸟智能眼镜旗舰店,眼镜,退货宝,回头客1万
雷鸟Air3ar非VR便携手机投屏观影显示设备雷鸟air 2S,智能,眼镜,眼镜,,569,,券后价,4人收货,广东,深圳,店铺满400减30,包邮,幻视VR,,,
独立安卓系统 AR翻译,智能,眼镜,,ChatGPT,4999,,券后价,本月行业热销,安徽,合肥,满1500减150,包邮,亲爱的翻译官旗舰店,,,
【串流神器 重磅新品】VITUREPro颈环AR空间计算终端海量应用私人影院 支持手势识别 多屏模式ar搭档,智能,眼镜,,,2097,0.03,券后价,4人收货,广东,广州,满1500减150,官方立减12%,Viture智能设备旗舰店,,淘金币已抵1.97元,
雷鸟Air 2冠军版AR高清观影便携屏120Hz高刷掌机巨幕非vrvision pro平替,智能,眼镜,眼镜,,1397,0.03,券后价,4人收货,广东,东莞,满800减80,官方立减12%,雷鸟智能眼镜旗舰店,,3期,回头客1万
XREAL Air2 Ultra全适配3DoF,智能,眼镜,,,3999,,,3人收货,北京,,包邮,,XREAL企业店,,,
【旗舰新品】雷鸟RayNeo X3 Pro 概念AI真无线双目全彩显示光波导AR翻译便携XR,眼镜,眼镜,眼镜,,9147,0.03,券后价,行业销量前20,广东,东莞,热销爆款,满1500减150,雷鸟智能眼镜旗舰店,眼镜,3期,回头客1万
【新品首发丨热卖爆款】雷鸟RayNeo Air 3s Pro口袋电视AR高清观影非vr支持iPhone16,智能,眼镜,眼镜,,1447,0.03,券后价,3人收货,上海,,满800减80,官方立减400元,严选智能设备专营店,,淘金币已抵1.97元,
雷鸟RayNeo Air 3s Pro AR观影百英寸巨幕影院3D游戏XR非VR一体机便携显示器 支持Switch2 1953,眼镜,智能,眼镜,MicroOLED,1743,0.44,券后价,3人收货,江苏,南京,淘金币已抵1.97元,包邮,苏宁易购官方旗舰店,,,9年老店
华为3代飞行员耳机蓝牙墨镜可配镜片第三代可替换前框,智能,眼镜,,,759,,券后价,本月行业热销,河南,郑州,热销爆款,满500减50,华为乐之途专卖店,,官方立减12%,回头客3万
【官方正品授权】GOOVIS G3 Max头戴3D巨幕显示器非VR/AR头戴影院高清视频IMAX级观影头显,智能,眼镜,,MicroOLED,6827,0.03,券后价,3人收货,广东,深圳,满1500减150,官方立减12%,积善嘉品智能设备专营店,,24期,
华为2蓝牙耳机通话华为4代华为配镜镜框,智能,眼镜,智能,,1018,,券后价,3人收货,浙江,杭州,官方立减12%,包邮,极锐数码,眼镜,,回头客7千
VITURE适用华为ai实时翻译同声传译蓝牙通话隐蔽听歌,智能,眼镜,智能,,955,0.7,,2人收货,广东,深圳,退货宝,包邮,VITURE旗官,,公益宝贝,
VITURE带摄像头适用于华为苹果小米蓝牙连接可拍摄录制听,智能,眼镜,,,1145,0.7,,2人收货,北京,,退货宝,包邮,VITURE旗官,,公益宝贝,
PICO 4 Ultra MR混合现实一体机VR游戏串流虚拟现实空间,眼镜,智能,,LCD,2849,,,2人收货,安徽,合肥,退货宝,包邮,灯尼屋,,,
雷鸟V3AI拍摄防抖无线蓝牙音频语音控制无线耳机录音翻译,智能,眼镜,,,1559,,券后价,2人收货,山东,济南,店铺满11减10,包邮,陆克眼镜,,,
INMO GO2AR实时同声翻译离线翻译演讲提词器AI会议助手出国旅游留学上课翻译机神器,智能,眼镜,,,5997,0.03,券后价,2人收货,上海,,淘金币已抵1.97元,退货宝,尚限影音旗舰店,,包邮,
XREAL蓝牙黑科技打电话无线耳机配近视男女款防蓝光多功,智能,眼镜,,,389,0.12,,2人收货,浙江,温州,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL墨镜蓝牙一体机耳机行车记录仪录拍照视频近视镜片,智能,眼镜,,,636,0.5,,2人收货,广东,广州,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL带摄像头适用于华为苹果小米WiFi连接可拍摄录制听,智能,眼镜,,,691,0.6,,2人收货,广东,深圳,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL2025新款AI拍摄 500万高清+WIFI互联防抖Vlog 390长,智能,眼镜,,,449,0.82,,2人收货,福建,厦门,退货宝,包邮,XREAL销售店铺,,公益宝贝,
Huawei/华为  2,智能,眼镜,,5.3,1169,,,1人收货,北京,,包邮,,博锐数码,,,
Rokid乐奇AR翻译 实时对话同声多国语言 字幕演讲提,智能,眼镜,眼镜,ChatGPT,13136,0.6,,1人收货,安徽,合肥,退货宝,包邮,Rokidmax旗官,,公益宝贝,
NOLOSonicVR游戏一体机私人影院头戴显示器体感4k3d,眼镜,智能,,,1897,0.03,券后价,1人收货,广东,深圳,淘金币已抵1.97元,退货宝,水子臻选,,包邮,
XREAL带摄像头适用于华为苹果小米蓝牙连接可拍摄录制听,智能,眼镜,,,1145,0.7,,1人收货,广东,深圳,退货宝,包邮,XREAL销售店铺,,公益宝贝,
Pico 4 Ultra MR混合现实一体机VR游戏串流虚拟现实空间,眼镜,智能,,,4698,,,0人收货,广东,深圳,包邮,,硅谷尚品科技馆,,,6年老店
Rokid ARLiteARMax2便携非VR高清轻办公游戏观影空间投屏,智能,眼镜,,,4016,0.4,,0人收货,广东,梅州,包邮,,维环迈工厂店,,,
Rokid乐奇V3AI拍摄无线蓝牙音频无线耳机语,眼镜,智能,眼镜,,922,0.26,,0人收货,北京,,退货宝,包邮,Rokidmax旗官,智能,公益宝贝,
Rokid乐奇AI拍摄AM01无线2025年新款蓝牙通话音乐户外运,智能,眼镜,,,2876,0.6,,0人收货,广东,深圳,退货宝,包邮,Rokidmax旗官,,公益宝贝,
Rokid乐奇【热卖爆款】AI拍摄无线蓝牙音频眼,眼镜,智能,智能,MicroOLED,6676,0.6,,0人收货,上海,,退货宝,包邮,Rokidmax旗官,,公益宝贝,
二手华为VRGlass 6DoF 手机电脑游戏套装一体机,眼镜,智能,眼镜,,409,,,0人收货,广东,佛山,包邮,,枫知数码小店,,,
二手华为（HUAWEI）Vision GlassAR头显3D全景体感游戏机,智能,眼镜,,,1499,,,0人收货,广东,佛山,包邮,,枫知数码小店,,,
雷鸟RayNeo Air 3s Pro柯南联名款AR 高清巨幕观影,智能,眼镜,眼镜,,1547,0.03,券后价,0人收货,辽宁,沈阳,淘金币已抵1.97元,包邮,回到未来VR,,,
热销Neo3  一体机vrvr体感游戏机3D游戏设备国行全新其他,眼镜,智能,,,3402,0.42,,0人收货,北京,,退货宝,包邮,镐静定制馆,,,
Rokid乐奇V3新品AI拍摄无线蓝牙音频xr语音,眼镜,智能,眼镜,,2722,0.7,,0人收货,广东,中山,退货宝,包邮,Rokidmax旗官,眼镜,公益宝贝,
